..........AI : 6.701 s, Game : 1.137 s
Episode 001 avg. reward = -0.800, Long-term avg. reward = -0.800
..........AI : 3.236 s, Game : 0.999 s
Episode 002 avg. reward = -0.900, Long-term avg. reward = -0.801
..........AI : 3.243 s, Game : 0.969 s
Episode 003 avg. reward = -0.900, Long-term avg. reward = -0.802
..........AI : 5.816 s, Game : 1.757 s
Episode 004 avg. reward = -0.500, Long-term avg. reward = -0.799
..........AI : 4.181 s, Game : 1.202 s
Episode 005 avg. reward = -0.700, Long-term avg. reward = -0.798
..........AI : 4.792 s, Game : 1.280 s
Episode 006 avg. reward = -0.800, Long-term avg. reward = -0.798
..........AI : 3.867 s, Game : 1.223 s
Episode 007 avg. reward = -0.800, Long-term avg. reward = -0.798
..........AI : 5.110 s, Game : 1.589 s
Episode 008 avg. reward = -0.600, Long-term avg. reward = -0.796
..........AI : 2.906 s, Game : 0.848 s
Episode 009 avg. reward = -1.000, Long-term avg. reward = -0.798
..........AI : 3.244 s, Game : 0.929 s
Episode 010 avg. reward = -1.000, Long-term avg. reward = -0.800
..........AI : 3.359 s, Game : 1.025 s
Episode 011 avg. reward = -1.000, Long-term avg. reward = -0.802
..........AI : 3.434 s, Game : 0.966 s
Episode 012 avg. reward = -1.000, Long-term avg. reward = -0.804
..........AI : 3.829 s, Game : 1.203 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.805
..........AI : 2.992 s, Game : 0.937 s
Episode 014 avg. reward = -1.000, Long-term avg. reward = -0.807
..........AI : 3.442 s, Game : 1.084 s
Episode 015 avg. reward = -0.800, Long-term avg. reward = -0.807
..........AI : 2.975 s, Game : 0.862 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.809
..........AI : 2.986 s, Game : 0.914 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.811
..........AI : 2.896 s, Game : 0.872 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.813
..........AI : 3.175 s, Game : 0.883 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.815
..........AI : 4.000 s, Game : 1.044 s
Episode 020 avg. reward = -0.900, Long-term avg. reward = -0.815
..........AI : 3.726 s, Game : 1.041 s
Episode 021 avg. reward = -0.900, Long-term avg. reward = -0.816
..........AI : 4.512 s, Game : 1.206 s
Episode 022 avg. reward = -0.800, Long-term avg. reward = -0.816
..........AI : 3.390 s, Game : 1.026 s
Episode 023 avg. reward = -0.900, Long-term avg. reward = -0.817
..........AI : 4.557 s, Game : 1.482 s
Episode 024 avg. reward = -0.600, Long-term avg. reward = -0.815
..........AI : 3.647 s, Game : 1.075 s
Episode 025 avg. reward = -0.900, Long-term avg. reward = -0.816
..........AI : 3.698 s, Game : 1.185 s
Episode 026 avg. reward = -0.800, Long-term avg. reward = -0.815
..........AI : 4.705 s, Game : 1.482 s
Episode 027 avg. reward = -0.700, Long-term avg. reward = -0.814
..........AI : 3.208 s, Game : 0.943 s
Episode 028 avg. reward = -1.000, Long-term avg. reward = -0.816
..........AI : 3.544 s, Game : 0.902 s
Episode 029 avg. reward = -0.900, Long-term avg. reward = -0.817
..........AI : 3.905 s, Game : 1.204 s
Episode 030 avg. reward = -0.700, Long-term avg. reward = -0.816
..........AI : 2.976 s, Game : 0.911 s
Episode 031 avg. reward = -0.900, Long-term avg. reward = -0.817
..........AI : 3.608 s, Game : 0.945 s
Episode 032 avg. reward = -1.000, Long-term avg. reward = -0.818
..........AI : 4.017 s, Game : 1.213 s
Episode 033 avg. reward = -0.800, Long-term avg. reward = -0.818
..........AI : 3.793 s, Game : 1.171 s
Episode 034 avg. reward = -0.800, Long-term avg. reward = -0.818
..........AI : 5.122 s, Game : 1.514 s
Episode 035 avg. reward = -0.500, Long-term avg. reward = -0.815
..........AI : 3.729 s, Game : 1.183 s
Episode 036 avg. reward = -0.800, Long-term avg. reward = -0.815
..........AI : 3.487 s, Game : 1.055 s
Episode 037 avg. reward = -0.800, Long-term avg. reward = -0.815
..........AI : 4.544 s, Game : 1.371 s
Episode 038 avg. reward = -0.700, Long-term avg. reward = -0.813
..........AI : 4.524 s, Game : 1.418 s
Episode 039 avg. reward = -0.700, Long-term avg. reward = -0.812
..........AI : 4.250 s, Game : 1.259 s
Episode 040 avg. reward = -0.700, Long-term avg. reward = -0.811
..........AI : 4.859 s, Game : 1.538 s
Episode 041 avg. reward = -0.500, Long-term avg. reward = -0.808
..........AI : 3.887 s, Game : 1.184 s
Episode 042 avg. reward = -0.800, Long-term avg. reward = -0.808
..........AI : 4.304 s, Game : 1.318 s
Episode 043 avg. reward = -0.700, Long-term avg. reward = -0.807
..........AI : 6.152 s, Game : 1.908 s
Episode 044 avg. reward = -0.400, Long-term avg. reward = -0.803
..........AI : 3.426 s, Game : 1.066 s
Episode 045 avg. reward = -0.800, Long-term avg. reward = -0.803
..........AI : 3.810 s, Game : 1.155 s
Episode 046 avg. reward = -0.800, Long-term avg. reward = -0.803
..........AI : 4.210 s, Game : 1.232 s
Episode 047 avg. reward = -0.700, Long-term avg. reward = -0.802
..........AI : 4.145 s, Game : 1.126 s
Episode 048 avg. reward = -0.800, Long-term avg. reward = -0.802
..........AI : 6.803 s, Game : 1.945 s
Episode 049 avg. reward = -0.300, Long-term avg. reward = -0.797
..........AI : 3.362 s, Game : 0.991 s
Episode 050 avg. reward = -0.900, Long-term avg. reward = -0.798
..........AI : 4.822 s, Game : 1.515 s
Episode 051 avg. reward = -0.600, Long-term avg. reward = -0.796
..........AI : 4.251 s, Game : 1.353 s
Episode 052 avg. reward = -0.800, Long-term avg. reward = -0.796
..........AI : 4.838 s, Game : 1.341 s
Episode 053 avg. reward = -0.900, Long-term avg. reward = -0.797
..........AI : 4.684 s, Game : 1.505 s
Episode 054 avg. reward = -0.600, Long-term avg. reward = -0.795
..........AI : 5.235 s, Game : 1.482 s
Episode 055 avg. reward = -0.600, Long-term avg. reward = -0.793
..........AI : 7.061 s, Game : 2.313 s
Episode 056 avg. reward = 0.000, Long-term avg. reward = -0.785
